DP,DPNOM,AÑO,ÁREA GEOGRÁFICA,Población
05,Antioquia,1993,Cabecera,3165505
05,Antioquia,1993,Centros Poblados y Rural Disperso,1442369
05,Antioquia,1993,Total,4607874
05,Antioquia,1994,Cabecera,3238892
05,Antioquia,1994,Centros Poblados y Rural Disperso,1440760
05,Antioquia,1994,Total,4679652
05,Antioquia,1995,Cabecera,3313698
05,Antioquia,1995,Centros Poblados y Rural Disperso,1439730
05,Antioquia,1995,Total,4753428
05,Antioquia,1996,Cabecera,3389521
05,Antioquia,1996,Centros Poblados y Rural Disperso,1439096
05,Antioquia,1996,Total,4828617
05,Antioquia,1997,Cabecera,3465673
05,Antioquia,1997,Centros Poblados y Rural Disperso,1438594
05,Antioquia,1997,Total,4904267
05,Antioquia,1998,Cabecera,3541450
05,Antioquia,1998,Centros Poblados y Rural Disperso,1437944
05,Antioquia,1998,Total,4979394
05,Antioquia,1999,Cabecera,3616401
05,Antioquia,1999,Centros Poblados y Rural Disperso,1437017
05,Antioquia,1999,Total,5053418
05,Antioquia,2000,Cabecera,3690006
05,Antioquia,2000,Centros Poblados y Rural Disperso,1435638
05,Antioquia,2000,Total,5125644
05,Antioquia,2001,Cabecera,3761889
05,Antioquia,2001,Centros Poblados y Rural Disperso,1433749
05,Antioquia,2001,Total,5195638
05,Antioquia,2002,Cabecera,3832218
05,Antioquia,2002,Centros Poblados y Rural Disperso,1431449
05,Antioquia,2002,Total,5263667
05,Antioquia,2003,Cabecera,3901392
05,Antioquia,2003,Centros Poblados y Rural Disperso,1428948
05,Antioquia,2003,Total,5330340
05,Antioquia,2004,Cabecera,3969758
05,Antioquia,2004,Centros Poblados y Rural Disperso,1426392
05,Antioquia,2004,Total,5396150
08,Atlántico,1993,Cabecera,1578910
08,Atlántico,1993,Centros Poblados y Rural Disperso,102660
08,Atlántico,1993,Total,1681570
08,Atlántico,1994,Cabecera,1618295
08,Atlántico,1994,Centros Poblados y Rural Disperso,104476
08,Atlántico,1994,Total,1722771
08,Atlántico,1995,Cabecera,1657043
08,Atlántico,1995,Centros Poblados y Rural Disperso,105985
08,Atlántico,1995,Total,1763028
08,Atlántico,1996,Cabecera,1695023
08,Atlántico,1996,Centros Poblados y Rural Disperso,107138
08,Atlántico,1996,Total,1802161
08,Atlántico,1997,Cabecera,1732385
08,Atlántico,1997,Centros Poblados y Rural Disperso,107937
08,Atlántico,1997,Total,1840322
08,Atlántico,1998,Cabecera,1769168
08,Atlántico,1998,Centros Poblados y Rural Disperso,108438
08,Atlántico,1998,Total,1877606
08,Atlántico,1999,Cabecera,1805379
08,Atlántico,1999,Centros Poblados y Rural Disperso,108689
08,Atlántico,1999,Total,1914068
08,Atlántico,2000,Cabecera,1840786
08,Atlántico,2000,Centros Poblados y Rural Disperso,108831
08,Atlántico,2000,Total,1949617
08,Atlántico,2001,Cabecera,1875167
08,Atlántico,2001,Centros Poblados y Rural Disperso,108979
08,Atlántico,2001,Total,1984146
08,Atlántico,2002,Cabecera,1908424
08,Atlántico,2002,Centros Poblados y Rural Disperso,109224
08,Atlántico,2002,Total,2017648
08,Atlántico,2003,Cabecera,1940614
08,Atlántico,2003,Centros Poblados y Rural Disperso,109652
08,Atlántico,2003,Total,2050266
08,Atlántico,2004,Cabecera,1971925
08,Atlántico,2004,Centros Poblados y Rural Disperso,110273
08,Atlántico,2004,Total,2082198
11,"Bogotá, D.C.",1993,Cabecera,5126977
11,"Bogotá, D.C.",1993,Centros Poblados y Rural Disperso,11256
11,"Bogotá, D.C.",1993,Total,5138233
11,"Bogotá, D.C.",1994,Cabecera,5285066
11,"Bogotá, D.C.",1994,Centros Poblados y Rural Disperso,11642
11,"Bogotá, D.C.",1994,Total,5296708
11,"Bogotá, D.C.",1995,Cabecera,5443783
11,"Bogotá, D.C.",1995,Centros Poblados y Rural Disperso,12036
11,"Bogotá, D.C.",1995,Total,5455819
11,"Bogotá, D.C.",1996,Cabecera,5601765
11,"Bogotá, D.C.",1996,Centros Poblados y Rural Disperso,12438
11,"Bogotá, D.C.",1996,Total,5614203
11,"Bogotá, D.C.",1997,Cabecera,5755891
11,"Bogotá, D.C.",1997,Centros Poblados y Rural Disperso,12847
11,"Bogotá, D.C.",1997,Total,5768738
11,"Bogotá, D.C.",1998,Cabecera,5902975
11,"Bogotá, D.C.",1998,Centros Poblados y Rural Disperso,13255
11,"Bogotá, D.C.",1998,Total,5916230
11,"Bogotá, D.C.",1999,Cabecera,6041648
11,"Bogotá, D.C.",1999,Centros Poblados y Rural Disperso,13655
11,"Bogotá, D.C.",1999,Total,6055303
11,"Bogotá, D.C.",2000,Cabecera,6170826
11,"Bogotá, D.C.",2000,Centros Poblados y Rural Disperso,14054
11,"Bogotá, D.C.",2000,Total,6184880
11,"Bogotá, D.C.",2001,Cabecera,6289891
11,"Bogotá, D.C.",2001,Centros Poblados y Rural Disperso,14471
11,"Bogotá, D.C.",2001,Total,6304362
11,"Bogotá, D.C.",2002,Cabecera,6400030
11,"Bogotá, D.C.",2002,Centros Poblados y Rural Disperso,14874
11,"Bogotá, D.C.",2002,Total,6414904
11,"Bogotá, D.C.",2003,Cabecera,6503230
11,"Bogotá, D.C.",2003,Centros Poblados y Rural Disperso,15298
11,"Bogotá, D.C.",2003,Total,6518528
11,"Bogotá, D.C.",2004,Cabecera,6600764
11,"Bogotá, D.C.",2004,Centros Poblados y Rural Disperso,15749
11,"Bogotá, D.C.",2004,Total,6616513
13,Bolívar,1993,Cabecera,988145
13,Bolívar,1993,Centros Poblados y Rural Disperso,481720
13,Bolívar,1993,Total,1469865
13,Bolívar,1994,Cabecera,1020866
13,Bolívar,1994,Centros Poblados y Rural Disperso,479541
13,Bolívar,1994,Total,1500407
13,Bolívar,1995,Cabecera,1052151
13,Bolívar,1995,Centros Poblados y Rural Disperso,478096
13,Bolívar,1995,Total,1530247
13,Bolívar,1996,Cabecera,1097216
13,Bolívar,1996,Centros Poblados y Rural Disperso,462150
13,Bolívar,1996,Total,1559366
13,Bolívar,1997,Cabecera,1132470
13,Bolívar,1997,Centros Poblados y Rural Disperso,455510
13,Bolívar,1997,Total,1587980
13,Bolívar,1998,Cabecera,1170597
13,Bolívar,1998,Centros Poblados y Rural Disperso,445691
13,Bolívar,1998,Total,1616288
13,Bolívar,1999,Cabecera,1204746
13,Bolívar,1999,Centros Poblados y Rural Disperso,439576
13,Bolívar,1999,Total,1644322
13,Bolívar,2000,Cabecera,1229419
13,Bolívar,2000,Centros Poblados y Rural Disperso,442569
13,Bolívar,2000,Total,1671988
13,Bolívar,2001,Cabecera,1252998
13,Bolívar,2001,Centros Poblados y Rural Disperso,446164
13,Bolívar,2001,Total,1699162
13,Bolívar,2002,Cabecera,1275444
13,Bolívar,2002,Centros Poblados y Rural Disperso,450203
13,Bolívar,2002,Total,1725647
13,Bolívar,2003,Cabecera,1296745
13,Bolívar,2003,Centros Poblados y Rural Disperso,454568
13,Bolívar,2003,Total,1751313
13,Bolívar,2004,Cabecera,1317025
13,Bolívar,2004,Centros Poblados y Rural Disperso,459152
13,Bolívar,2004,Total,1776177
15,Boyacá,1993,Cabecera,453026
15,Boyacá,1993,Centros Poblados y Rural Disperso,629157
15,Boyacá,1993,Total,1082183
15,Boyacá,1994,Cabecera,464025
15,Boyacá,1994,Centros Poblados y Rural Disperso,623594
15,Boyacá,1994,Total,1087619
15,Boyacá,1995,Cabecera,475219
15,Boyacá,1995,Centros Poblados y Rural Disperso,617932
15,Boyacá,1995,Total,1093151
15,Boyacá,1996,Cabecera,486542
15,Boyacá,1996,Centros Poblados y Rural Disperso,612152
15,Boyacá,1996,Total,1098694
15,Boyacá,1997,Cabecera,497939
15,Boyacá,1997,Centros Poblados y Rural Disperso,606256
15,Boyacá,1997,Total,1104195
15,Boyacá,1998,Cabecera,509354
15,Boyacá,1998,Centros Poblados y Rural Disperso,600262
15,Boyacá,1998,Total,1109616
15,Boyacá,1999,Cabecera,520709
15,Boyacá,1999,Centros Poblados y Rural Disperso,594156
15,Boyacá,1999,Total,1114865
15,Boyacá,2000,Cabecera,531945
15,Boyacá,2000,Centros Poblados y Rural Disperso,587959
15,Boyacá,2000,Total,1119904
15,Boyacá,2001,Cabecera,543008
15,Boyacá,2001,Centros Poblados y Rural Disperso,581694
15,Boyacá,2001,Total,1124702
15,Boyacá,2002,Cabecera,553872
15,Boyacá,2002,Centros Poblados y Rural Disperso,575378
15,Boyacá,2002,Total,1129250
15,Boyacá,2003,Cabecera,564524
15,Boyacá,2003,Centros Poblados y Rural Disperso,569094
15,Boyacá,2003,Total,1133618
15,Boyacá,2004,Cabecera,574929
15,Boyacá,2004,Centros Poblados y Rural Disperso,562868
15,Boyacá,2004,Total,1137797
17,Caldas,1993,Cabecera,634326
17,Caldas,1993,Centros Poblados y Rural Disperso,359210
17,Caldas,1993,Total,993536
17,Caldas,1994,Cabecera,639500
17,Caldas,1994,Centros Poblados y Rural Disperso,357809
17,Caldas,1994,Total,997309
17,Caldas,1995,Cabecera,644630
17,Caldas,1995,Centros Poblados y Rural Disperso,356047
17,Caldas,1995,Total,1000677
17,Caldas,1996,Cabecera,649622
17,Caldas,1996,Centros Poblados y Rural Disperso,353913
17,Caldas,1996,Total,1003535
17,Caldas,1997,Cabecera,654440
17,Caldas,1997,Centros Poblados y Rural Disperso,351351
17,Caldas,1997,Total,1005791
17,Caldas,1998,Cabecera,659020
17,Caldas,1998,Centros Poblados y Rural Disperso,348362
17,Caldas,1998,Total,1007382
17,Caldas,1999,Cabecera,667177
17,Caldas,1999,Centros Poblados y Rural Disperso,341100
17,Caldas,1999,Total,1008277
17,Caldas,2000,Cabecera,671067
17,Caldas,2000,Centros Poblados y Rural Disperso,337290
17,Caldas,2000,Total,1008357
17,Caldas,2001,Cabecera,674538
17,Caldas,2001,Centros Poblados y Rural Disperso,333022
17,Caldas,2001,Total,1007560
17,Caldas,2002,Cabecera,677590
17,Caldas,2002,Centros Poblados y Rural Disperso,328329
17,Caldas,2002,Total,1005919
17,Caldas,2003,Cabecera,680267
17,Caldas,2003,Centros Poblados y Rural Disperso,323289
17,Caldas,2003,Total,1003556
17,Caldas,2004,Cabecera,682610
17,Caldas,2004,Centros Poblados y Rural Disperso,317971
17,Caldas,2004,Total,1000581
18,Caquetá,1993,Cabecera,185915
18,Caquetá,1993,Centros Poblados y Rural Disperso,137748
18,Caquetá,1993,Total,323663
18,Caquetá,1994,Cabecera,189744
18,Caquetá,1994,Centros Poblados y Rural Disperso,140169
18,Caquetá,1994,Total,329913
18,Caquetá,1995,Cabecera,193624
18,Caquetá,1995,Centros Poblados y Rural Disperso,142294
18,Caquetá,1995,Total,335918
18,Caquetá,1996,Cabecera,197637
18,Caquetá,1996,Centros Poblados y Rural Disperso,144046
18,Caquetá,1996,Total,341683
18,Caquetá,1997,Cabecera,201940
18,Caquetá,1997,Centros Poblados y Rural Disperso,145268
18,Caquetá,1997,Total,347208
18,Caquetá,1998,Cabecera,206675
18,Caquetá,1998,Centros Poblados y Rural Disperso,145786
18,Caquetá,1998,Total,352461
18,Caquetá,1999,Cabecera,211972
18,Caquetá,1999,Centros Poblados y Rural Disperso,145448
18,Caquetá,1999,Total,357420
18,Caquetá,2000,Cabecera,217745
18,Caquetá,2000,Centros Poblados y Rural Disperso,144302
18,Caquetá,2000,Total,362047
18,Caquetá,2001,Cabecera,223705
18,Caquetá,2001,Centros Poblados y Rural Disperso,142623
18,Caquetá,2001,Total,366328
18,Caquetá,2002,Cabecera,229383
18,Caquetá,2002,Centros Poblados y Rural Disperso,140860
18,Caquetá,2002,Total,370243
18,Caquetá,2003,Cabecera,234361
18,Caquetá,2003,Centros Poblados y Rural Disperso,139425
18,Caquetá,2003,Total,373786
18,Caquetá,2004,Cabecera,238463
18,Caquetá,2004,Centros Poblados y Rural Disperso,138504
18,Caquetá,2004,Total,376967
19,Cauca,1993,Cabecera,379656
19,Cauca,1993,Centros Poblados y Rural Disperso,703154
19,Cauca,1993,Total,1082810
19,Cauca,1994,Cabecera,386983
19,Cauca,1994,Centros Poblados y Rural Disperso,712414
